id	item_group_id	title	description	availability	inventory	condition	price	link	image_link	brand	sale_price	additional_image_link	product_type	color	size	material	age_group	gender	internal_label
RW357112N0010107	RW357112N001	【WEB限定展開あり】リブハイネックニット - ホワイト / FREE	"＜1枚でもインナー使いもできる冬の定番アイテム＞
■WEB限定展開のLサイズが新登場！
■オフホワイト・エクリュ・チャコール・ブラック/ボーダー・レッド・ブルーはWEB限定カラーのご用意です。
▼デザイン
伸縮性のあるリブニットは、毎年大人気のアイテムです。
首回りはハイネックで、マフラーいらず！プチプラながらちゃんとした素材感で、2色買い、3色買いもおすすめです。
カラフルなカラーバリエーションで、アウターやボトムに合わせて配色を楽しんでみてください！
▼コーディネート
冬のインナーの大定番、リブハイネックニット。
シンプルなデザインで、どんなボトムとも相性ばっちりです◎
------------------------------
生地感：厚手
伸縮性：あり
透け感：なし(ホワイトはやや透け感あり)
裏地：なし
------------------------------
▼ブランド紹介
RETRO GIRL (レトロガール）
自分らしい“ベーシックアイテム”と
新しい自分の”トレンドアイテム”が
見つかる場所
今らしいファッションを楽しむ
女性のためのブランド
#ニット#タートルネック#リブニット#リブハイネック#インナーニット
▼注意事項
※撮影環境やモニター環境によって実際の商品とお色味が
多少異なってみえる場合がございます。
※サイズはサンプル品を基に採寸しております。
実際の商品とは若干の誤差が生じる場合がございますので、あらかじめご了承ください。
品番：RW357112N001　/ 品名：リブハイネックニット"	in stock	999	new	1870 JPY	https://www.retro-girl.jp/item/108192.html	https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819201_b.jpg	RETRO GIRL		https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819202_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819208_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819210_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819211_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819213_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819214_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819215_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819217_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819219_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819220_b.jpg	トップス > ニット/セーター	ホワイト	FREE	レーヨン40%　ナイロン36%　ポリエステル24%	adult	female	
RW357112N0010104	RW357112N001	【WEB限定展開あり】リブハイネックニット - ホワイト / L	"＜1枚でもインナー使いもできる冬の定番アイテム＞
■WEB限定展開のLサイズが新登場！
■オフホワイト・エクリュ・チャコール・ブラック/ボーダー・レッド・ブルーはWEB限定カラーのご用意です。
▼デザイン
伸縮性のあるリブニットは、毎年大人気のアイテムです。
首回りはハイネックで、マフラーいらず！プチプラながらちゃんとした素材感で、2色買い、3色買いもおすすめです。
カラフルなカラーバリエーションで、アウターやボトムに合わせて配色を楽しんでみてください！
▼コーディネート
冬のインナーの大定番、リブハイネックニット。
シンプルなデザインで、どんなボトムとも相性ばっちりです◎
------------------------------
生地感：厚手
伸縮性：あり
透け感：なし(ホワイトはやや透け感あり)
裏地：なし
------------------------------
▼ブランド紹介
RETRO GIRL (レトロガール）
自分らしい“ベーシックアイテム”と
新しい自分の”トレンドアイテム”が
見つかる場所
今らしいファッションを楽しむ
女性のためのブランド
#ニット#タートルネック#リブニット#リブハイネック#インナーニット
▼注意事項
※撮影環境やモニター環境によって実際の商品とお色味が
多少異なってみえる場合がございます。
※サイズはサンプル品を基に採寸しております。
実際の商品とは若干の誤差が生じる場合がございますので、あらかじめご了承ください。
品番：RW357112N001　/ 品名：リブハイネックニット"	in stock	999	new	1870 JPY	https://www.retro-girl.jp/item/108192.html	https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819201_b.jpg	RETRO GIRL		https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819202_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819208_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819210_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819211_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819213_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819214_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819215_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819217_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819219_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819220_b.jpg	トップス > ニット/セーター	ホワイト	L	レーヨン40%　ナイロン36%　ポリエステル24%	adult	female	
RW357112N0010907	RW357112N001	【WEB限定展開あり】リブハイネックニット - ブラック / FREE	"＜1枚でもインナー使いもできる冬の定番アイテム＞
■WEB限定展開のLサイズが新登場！
■オフホワイト・エクリュ・チャコール・ブラック/ボーダー・レッド・ブルーはWEB限定カラーのご用意です。
▼デザイン
伸縮性のあるリブニットは、毎年大人気のアイテムです。
首回りはハイネックで、マフラーいらず！プチプラながらちゃんとした素材感で、2色買い、3色買いもおすすめです。
カラフルなカラーバリエーションで、アウターやボトムに合わせて配色を楽しんでみてください！
▼コーディネート
冬のインナーの大定番、リブハイネックニット。
シンプルなデザインで、どんなボトムとも相性ばっちりです◎
------------------------------
生地感：厚手
伸縮性：あり
透け感：なし(ホワイトはやや透け感あり)
裏地：なし
------------------------------
▼ブランド紹介
RETRO GIRL (レトロガール）
自分らしい“ベーシックアイテム”と
新しい自分の”トレンドアイテム”が
見つかる場所
今らしいファッションを楽しむ
女性のためのブランド
#ニット#タートルネック#リブニット#リブハイネック#インナーニット
▼注意事項
※撮影環境やモニター環境によって実際の商品とお色味が
多少異なってみえる場合がございます。
※サイズはサンプル品を基に採寸しております。
実際の商品とは若干の誤差が生じる場合がございますので、あらかじめご了承ください。
品番：RW357112N001　/ 品名：リブハイネックニット"	in stock	999	new	1870 JPY	https://www.retro-girl.jp/item/108192.html	https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819202_b.jpg	RETRO GIRL		https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819201_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819208_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819210_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819211_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819213_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819214_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819215_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819217_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819219_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819220_b.jpg	トップス > ニット/セーター	ブラック	FREE	レーヨン40%　ナイロン36%　ポリエステル24%	adult	female	
RW357112N0010904	RW357112N001	【WEB限定展開あり】リブハイネックニット - ブラック / L	"＜1枚でもインナー使いもできる冬の定番アイテム＞
■WEB限定展開のLサイズが新登場！
■オフホワイト・エクリュ・チャコール・ブラック/ボーダー・レッド・ブルーはWEB限定カラーのご用意です。
▼デザイン
伸縮性のあるリブニットは、毎年大人気のアイテムです。
首回りはハイネックで、マフラーいらず！プチプラながらちゃんとした素材感で、2色買い、3色買いもおすすめです。
カラフルなカラーバリエーションで、アウターやボトムに合わせて配色を楽しんでみてください！
▼コーディネート
冬のインナーの大定番、リブハイネックニット。
シンプルなデザインで、どんなボトムとも相性ばっちりです◎
------------------------------
生地感：厚手
伸縮性：あり
透け感：なし(ホワイトはやや透け感あり)
裏地：なし
------------------------------
▼ブランド紹介
RETRO GIRL (レトロガール）
自分らしい“ベーシックアイテム”と
新しい自分の”トレンドアイテム”が
見つかる場所
今らしいファッションを楽しむ
女性のためのブランド
#ニット#タートルネック#リブニット#リブハイネック#インナーニット
▼注意事項
※撮影環境やモニター環境によって実際の商品とお色味が
多少異なってみえる場合がございます。
※サイズはサンプル品を基に採寸しております。
実際の商品とは若干の誤差が生じる場合がございますので、あらかじめご了承ください。
品番：RW357112N001　/ 品名：リブハイネックニット"	in stock	999	new	1870 JPY	https://www.retro-girl.jp/item/108192.html	https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819202_b.jpg	RETRO GIRL		https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819201_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819208_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819210_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819211_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819213_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819214_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819215_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819217_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819219_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819220_b.jpg	トップス > ニット/セーター	ブラック	L	レーヨン40%　ナイロン36%　ポリエステル24%	adult	female	
RW357112N0018007	RW357112N001	【WEB限定展開あり】リブハイネックニット - ブルー / FREE	"＜1枚でもインナー使いもできる冬の定番アイテム＞
■WEB限定展開のLサイズが新登場！
■オフホワイト・エクリュ・チャコール・ブラック/ボーダー・レッド・ブルーはWEB限定カラーのご用意です。
▼デザイン
伸縮性のあるリブニットは、毎年大人気のアイテムです。
首回りはハイネックで、マフラーいらず！プチプラながらちゃんとした素材感で、2色買い、3色買いもおすすめです。
カラフルなカラーバリエーションで、アウターやボトムに合わせて配色を楽しんでみてください！
▼コーディネート
冬のインナーの大定番、リブハイネックニット。
シンプルなデザインで、どんなボトムとも相性ばっちりです◎
------------------------------
生地感：厚手
伸縮性：あり
透け感：なし(ホワイトはやや透け感あり)
裏地：なし
------------------------------
▼ブランド紹介
RETRO GIRL (レトロガール）
自分らしい“ベーシックアイテム”と
新しい自分の”トレンドアイテム”が
見つかる場所
今らしいファッションを楽しむ
女性のためのブランド
#ニット#タートルネック#リブニット#リブハイネック#インナーニット
▼注意事項
※撮影環境やモニター環境によって実際の商品とお色味が
多少異なってみえる場合がございます。
※サイズはサンプル品を基に採寸しております。
実際の商品とは若干の誤差が生じる場合がございますので、あらかじめご了承ください。
品番：RW357112N001　/ 品名：リブハイネックニット"	in stock	999	new	1870 JPY	https://www.retro-girl.jp/item/108192.html	https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819208_b.jpg	RETRO GIRL		https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819201_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819202_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819210_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819211_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819213_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819214_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819215_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819217_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819219_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819220_b.jpg	トップス > ニット/セーター	ブルー	FREE	レーヨン40%　ナイロン36%　ポリエステル24%	adult	female	
RW357112N0018004	RW357112N001	【WEB限定展開あり】リブハイネックニット - ブルー / L	"＜1枚でもインナー使いもできる冬の定番アイテム＞
■WEB限定展開のLサイズが新登場！
■オフホワイト・エクリュ・チャコール・ブラック/ボーダー・レッド・ブルーはWEB限定カラーのご用意です。
▼デザイン
伸縮性のあるリブニットは、毎年大人気のアイテムです。
首回りはハイネックで、マフラーいらず！プチプラながらちゃんとした素材感で、2色買い、3色買いもおすすめです。
カラフルなカラーバリエーションで、アウターやボトムに合わせて配色を楽しんでみてください！
▼コーディネート
冬のインナーの大定番、リブハイネックニット。
シンプルなデザインで、どんなボトムとも相性ばっちりです◎
------------------------------
生地感：厚手
伸縮性：あり
透け感：なし(ホワイトはやや透け感あり)
裏地：なし
------------------------------
▼ブランド紹介
RETRO GIRL (レトロガール）
自分らしい“ベーシックアイテム”と
新しい自分の”トレンドアイテム”が
見つかる場所
今らしいファッションを楽しむ
女性のためのブランド
#ニット#タートルネック#リブニット#リブハイネック#インナーニット
▼注意事項
※撮影環境やモニター環境によって実際の商品とお色味が
多少異なってみえる場合がございます。
※サイズはサンプル品を基に採寸しております。
実際の商品とは若干の誤差が生じる場合がございますので、あらかじめご了承ください。
品番：RW357112N001　/ 品名：リブハイネックニット"	in stock	999	new	1870 JPY	https://www.retro-girl.jp/item/108192.html	https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819208_b.jpg	RETRO GIRL		https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819201_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819202_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819210_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819211_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819213_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819214_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819215_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819217_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819219_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819220_b.jpg	トップス > ニット/セーター	ブルー	L	レーヨン40%　ナイロン36%　ポリエステル24%	adult	female	
RW357112N0011007	RW357112N001	【WEB限定展開あり】リブハイネックニット - ライトグレー / FREE	"＜1枚でもインナー使いもできる冬の定番アイテム＞
■WEB限定展開のLサイズが新登場！
■オフホワイト・エクリュ・チャコール・ブラック/ボーダー・レッド・ブルーはWEB限定カラーのご用意です。
▼デザイン
伸縮性のあるリブニットは、毎年大人気のアイテムです。
首回りはハイネックで、マフラーいらず！プチプラながらちゃんとした素材感で、2色買い、3色買いもおすすめです。
カラフルなカラーバリエーションで、アウターやボトムに合わせて配色を楽しんでみてください！
▼コーディネート
冬のインナーの大定番、リブハイネックニット。
シンプルなデザインで、どんなボトムとも相性ばっちりです◎
------------------------------
生地感：厚手
伸縮性：あり
透け感：なし(ホワイトはやや透け感あり)
裏地：なし
------------------------------
▼ブランド紹介
RETRO GIRL (レトロガール）
自分らしい“ベーシックアイテム”と
新しい自分の”トレンドアイテム”が
見つかる場所
今らしいファッションを楽しむ
女性のためのブランド
#ニット#タートルネック#リブニット#リブハイネック#インナーニット
▼注意事項
※撮影環境やモニター環境によって実際の商品とお色味が
多少異なってみえる場合がございます。
※サイズはサンプル品を基に採寸しております。
実際の商品とは若干の誤差が生じる場合がございますので、あらかじめご了承ください。
品番：RW357112N001　/ 品名：リブハイネックニット"	in stock	999	new	1870 JPY	https://www.retro-girl.jp/item/108192.html	https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819210_b.jpg	RETRO GIRL		https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819201_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819202_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819208_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819211_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819213_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819214_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819215_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819217_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819219_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819220_b.jpg	トップス > ニット/セーター	ライトグレー	FREE	レーヨン40%　ナイロン36%　ポリエステル24%	adult	female	
RW357112N0011004	RW357112N001	【WEB限定展開あり】リブハイネックニット - ライトグレー / L	"＜1枚でもインナー使いもできる冬の定番アイテム＞
■WEB限定展開のLサイズが新登場！
■オフホワイト・エクリュ・チャコール・ブラック/ボーダー・レッド・ブルーはWEB限定カラーのご用意です。
▼デザイン
伸縮性のあるリブニットは、毎年大人気のアイテムです。
首回りはハイネックで、マフラーいらず！プチプラながらちゃんとした素材感で、2色買い、3色買いもおすすめです。
カラフルなカラーバリエーションで、アウターやボトムに合わせて配色を楽しんでみてください！
▼コーディネート
冬のインナーの大定番、リブハイネックニット。
シンプルなデザインで、どんなボトムとも相性ばっちりです◎
------------------------------
生地感：厚手
伸縮性：あり
透け感：なし(ホワイトはやや透け感あり)
裏地：なし
------------------------------
▼ブランド紹介
RETRO GIRL (レトロガール）
自分らしい“ベーシックアイテム”と
新しい自分の”トレンドアイテム”が
見つかる場所
今らしいファッションを楽しむ
女性のためのブランド
#ニット#タートルネック#リブニット#リブハイネック#インナーニット
▼注意事項
※撮影環境やモニター環境によって実際の商品とお色味が
多少異なってみえる場合がございます。
※サイズはサンプル品を基に採寸しております。
実際の商品とは若干の誤差が生じる場合がございますので、あらかじめご了承ください。
品番：RW357112N001　/ 品名：リブハイネックニット"	in stock	999	new	1870 JPY	https://www.retro-girl.jp/item/108192.html	https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819210_b.jpg	RETRO GIRL		https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819201_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819202_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819208_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819211_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819213_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819214_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819215_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819217_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819219_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819220_b.jpg	トップス > ニット/セーター	ライトグレー	L	レーヨン40%　ナイロン36%　ポリエステル24%	adult	female	
RW357112N0013207	RW357112N001	【WEB限定展開あり】リブハイネックニット - ダークレッド / FREE	"＜1枚でもインナー使いもできる冬の定番アイテム＞
■WEB限定展開のLサイズが新登場！
■オフホワイト・エクリュ・チャコール・ブラック/ボーダー・レッド・ブルーはWEB限定カラーのご用意です。
▼デザイン
伸縮性のあるリブニットは、毎年大人気のアイテムです。
首回りはハイネックで、マフラーいらず！プチプラながらちゃんとした素材感で、2色買い、3色買いもおすすめです。
カラフルなカラーバリエーションで、アウターやボトムに合わせて配色を楽しんでみてください！
▼コーディネート
冬のインナーの大定番、リブハイネックニット。
シンプルなデザインで、どんなボトムとも相性ばっちりです◎
------------------------------
生地感：厚手
伸縮性：あり
透け感：なし(ホワイトはやや透け感あり)
裏地：なし
------------------------------
▼ブランド紹介
RETRO GIRL (レトロガール）
自分らしい“ベーシックアイテム”と
新しい自分の”トレンドアイテム”が
見つかる場所
今らしいファッションを楽しむ
女性のためのブランド
#ニット#タートルネック#リブニット#リブハイネック#インナーニット
▼注意事項
※撮影環境やモニター環境によって実際の商品とお色味が
多少異なってみえる場合がございます。
※サイズはサンプル品を基に採寸しております。
実際の商品とは若干の誤差が生じる場合がございますので、あらかじめご了承ください。
品番：RW357112N001　/ 品名：リブハイネックニット"	in stock	999	new	1870 JPY	https://www.retro-girl.jp/item/108192.html	https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819211_b.jpg	RETRO GIRL		https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819201_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819202_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819208_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819210_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819213_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819214_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819215_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819217_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819219_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819220_b.jpg	トップス > ニット/セーター	ダークレッド	FREE	レーヨン40%　ナイロン36%　ポリエステル24%	adult	female	
RW357112N0013204	RW357112N001	【WEB限定展開あり】リブハイネックニット - ダークレッド / L	"＜1枚でもインナー使いもできる冬の定番アイテム＞
■WEB限定展開のLサイズが新登場！
■オフホワイト・エクリュ・チャコール・ブラック/ボーダー・レッド・ブルーはWEB限定カラーのご用意です。
▼デザイン
伸縮性のあるリブニットは、毎年大人気のアイテムです。
首回りはハイネックで、マフラーいらず！プチプラながらちゃんとした素材感で、2色買い、3色買いもおすすめです。
カラフルなカラーバリエーションで、アウターやボトムに合わせて配色を楽しんでみてください！
▼コーディネート
冬のインナーの大定番、リブハイネックニット。
シンプルなデザインで、どんなボトムとも相性ばっちりです◎
------------------------------
生地感：厚手
伸縮性：あり
透け感：なし(ホワイトはやや透け感あり)
裏地：なし
------------------------------
▼ブランド紹介
RETRO GIRL (レトロガール）
自分らしい“ベーシックアイテム”と
新しい自分の”トレンドアイテム”が
見つかる場所
今らしいファッションを楽しむ
女性のためのブランド
#ニット#タートルネック#リブニット#リブハイネック#インナーニット
▼注意事項
※撮影環境やモニター環境によって実際の商品とお色味が
多少異なってみえる場合がございます。
※サイズはサンプル品を基に採寸しております。
実際の商品とは若干の誤差が生じる場合がございますので、あらかじめご了承ください。
品番：RW357112N001　/ 品名：リブハイネックニット"	in stock	999	new	1870 JPY	https://www.retro-girl.jp/item/108192.html	https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819211_b.jpg	RETRO GIRL		https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819201_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819202_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819208_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819210_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819213_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819214_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819215_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819217_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819219_b.jpg,https://img-retro-girl.freetls.fastly.net/retrogirl/image_item/108/108192/10819220_b.jpg	トップス > ニット/セーター	ダークレッド	L	レーヨン40%　ナイロン36%　ポリエステル24%	adult	female	
